id,uid,pid,suggestion_id,starttime,endtime,status
9682,1270,1680,1,2016-12-12 10:30:00,2016-12-12 11:20:00,2
9688,2735,1927,1,2016-12-08 15:00:00,2016-12-08 16:00:00,2
9692,9446,1180,1,2016-12-12 09:00:00,2016-12-12 09:50:00,2
9697,2957,1949,1,2016-12-06 20:00:00,2016-12-06 21:00:00,2
9702,6598,1898,1,2016-12-13 09:30:00,2016-12-13 10:20:00,2
9709,7956,1855,1,2016-12-13 14:00:00,2016-12-13 14:50:00,2
9717,4807,994,1,2016-12-13 19:00:00,2016-12-13 20:00:00,2
9720,7749,588,1,2016-12-12 15:00:00,2016-12-12 16:00:00,2
9723,2957,1949,1,2016-12-13 20:00:00,2016-12-13 21:00:00,2
9728,3308,1544,1,2016-12-13 16:00:00,2016-12-13 16:50:00,2
