id,uid,date,type1,type2,type3,zd0,zd1,zd2,submit_time,status
979,68632,2016-03-22,63,104,95,1,0,0,2016-03-22 16:48:16,1
984,68634,2016-03-23,63,104,104,1,1,1,2016-03-23 15:59:58,1
988,60165,2016-03-25,61,93,104,1,0,1,2016-03-25 10:20:34,1
989,64618,2016-03-25,60,104,104,1,1,1,2016-03-25 11:20:18,1
993,61419,2016-03-25,53,93,104,0,1,1,2016-03-25 17:12:16,1
1001,59413,2016-03-31,63,77,95,0,0,1,2016-03-31 15:08:42,1
1002,65071,2016-03-31,61,104,104,1,0,1,2016-03-31 15:41:30,1
1010,68333,2016-04-01,53,104,104,0,1,1,2016-04-01 14:55:15,1
1011,68522,2016-04-01,63,93,104,0,1,1,2016-04-01 15:11:36,1
1012,62322,2016-04-01,63,93,104,1,1,1,2016-04-01 15:21:53,1
1017,67983,2016-04-05,61,104,104,1,1,1,2016-04-05 14:58:44,1
1020,62499,2016-04-05,62,104,104,1,1,1,2016-04-05 17:28:20,1
1021,64625,2016-04-06,61,104,104,0,1,1,2016-04-06 08:53:48,1
1025,65740,2016-04-07,60,104,104,1,1,1,2016-04-07 15:30:47,1
1027,60695,2016-04-07,65,93,104,0,1,1,2016-04-07 15:56:04,1
1029,69730,2016-04-07,53,93,103,1,0,1,2016-04-07 16:55:49,1
1030,66765,2016-04-08,63,104,104,1,1,1,2016-04-08 10:59:25,1
1032,59244,2016-04-08,61,83,104,1,1,1,2016-04-08 15:48:00,1
1033,62735,2016-04-08,54,83,103,0,0,0,2016-04-08 16:24:44,1
1039,67119,2016-04-12,60,104,104,1,1,1,2016-04-12 15:17:34,1
1041,67802,2016-04-12,65,104,104,1,0,1,2016-04-12 17:30:06,1
1049,62819,2016-04-15,63,104,104,1,1,1,2016-04-15 11:26:10,1
1050,64026,2016-04-15,63,104,104,1,0,1,2016-04-15 12:06:46,1
1051,63198,2016-04-15,53,104,104,1,1,1,2016-04-15 15:03:50,1
1052,67836,2016-04-15,53,104,95,0,0,0,2016-04-15 15:54:52,1
1062,66436,2016-04-19,63,74,95,1,0,0,2016-04-19 14:31:03,1
1067,60572,2016-04-20,63,104,104,1,0,1,2016-04-20 16:27:49,1
1068,65269,2016-04-20,54,104,95,1,0,0,2016-04-20 16:21:36,1
1069,68397,2016-04-21,60,93,104,1,1,1,2016-04-21 13:29:12,1
1071,67910,2016-04-21,63,104,104,1,1,1,2016-04-21 14:33:03,1
1078,68159,2016-04-25,61,104,104,1,1,1,2016-04-25 16:19:23,1
1079,60674,2016-04-25,53,104,104,1,1,1,2016-04-26 08:09:17,1
1081,67189,2016-04-26,60,74,104,0,0,1,2016-04-26 09:34:52,1
1082,59614,2016-04-26,63,104,104,1,1,1,2016-04-26 13:12:46,1
1085,68069,2016-04-26,60,104,104,1,1,1,2016-04-26 15:30:51,1
1087,64045,2016-04-26,53,104,104,1,1,1,2016-04-26 16:37:55,1
1089,63441,2016-03-29,61,104,104,1,1,1,2016-04-27 08:22:59,1
1091,61127,2016-04-27,62,75,95,0,0,0,2016-04-27 15:18:09,1
1094,66407,2016-04-28,60,104,104,1,0,1,2016-04-28 16:02:27,1
1099,64762,2016-04-28,60,104,104,1,1,1,2016-04-28 16:16:39,1
1100,63349,2016-12-12,53,74,104,0,1,1,2016-12-12 09:52:16,1
1101,66567,2016-04-28,63,75,95,0,0,0,2016-04-29 07:06:56,1
1104,68802,2016-04-29,53,74,95,0,0,0,2016-04-29 16:32:03,1
1108,62266,2016-05-03,65,104,104,1,1,1,2016-05-03 17:45:45,1
1116,60117,2016-05-04,60,104,104,1,1,1,2016-05-04 16:50:56,1
1121,68062,2016-05-05,61,93,104,1,0,1,2016-05-05 16:22:40,1
1128,66839,2016-05-09,53,73,95,0,0,1,2016-05-09 15:54:00,1
1130,59907,2016-05-10,63,104,104,1,1,1,2016-05-10 15:25:53,1
1132,65129,2016-05-10,63,104,104,1,1,1,2016-05-10 16:58:47,1
1133,66569,2016-05-11,65,83,103,1,0,1,2016-05-11 09:24:41,1
1134,62065,2016-05-11,63,73,104,0,0,1,2016-05-11 11:36:57,1
1138,67966,2016-05-13,60,104,104,1,1,1,2016-05-13 10:21:39,1
1140,60031,2016-05-13,54,104,104,1,1,1,2016-05-13 10:53:01,1
1141,64472,2016-05-13,54,104,104,1,1,1,2016-05-13 14:30:45,1
1146,60793,2016-05-16,53,104,104,1,1,1,2016-05-16 09:05:16,1
1148,61980,2016-05-16,53,104,104,1,1,1,2016-05-16 11:25:59,1
1152,65062,2016-05-16,53,104,104,0,0,0,2016-05-16 16:44:58,1
1159,66413,2016-05-18,53,104,104,1,1,1,2016-05-18 10:31:37,1
1165,65587,2016-05-20,53,104,104,1,1,1,2016-05-20 08:58:30,1
1166,63936,2016-05-20,63,85,104,0,0,1,2016-05-20 11:39:48,1
1170,59469,2016-05-20,54,74,104,0,1,0,2016-05-20 17:26:43,1
1175,65240,2016-05-23,63,104,104,1,1,1,2016-05-23 16:31:33,1
1176,66087,2016-05-24,60,104,104,1,1,1,2016-05-24 10:59:12,1
1178,60792,2016-05-24,60,104,104,1,1,1,2016-05-24 15:02:33,1
1179,63993,2016-05-24,63,104,95,1,0,0,2016-05-24 15:49:56,1
1184,60883,2016-05-25,63,104,104,1,1,1,2016-05-25 14:58:14,1
1187,59711,2016-05-27,63,83,103,0,1,1,2016-05-27 14:57:08,1
1188,60378,2016-05-27,54,77,103,0,0,1,2016-05-27 15:19:09,1
1192,65869,2016-05-31,53,89,104,0,1,1,2016-05-31 10:37:37,1
1195,59067,2016-04-08,63,74,103,0,0,0,2016-05-31 14:39:53,1
1197,64360,2016-04-04,53,104,104,1,1,1,2016-06-01 09:20:54,1
1199,64000,2016-06-01,53,77,104,0,0,1,2016-06-01 11:26:14,1
1212,66391,2016-06-06,53,77,104,0,1,1,2016-06-06 17:07:25,1
1218,61742,2016-06-08,53,104,104,1,1,1,2016-06-08 11:35:21,1
1220,63138,2016-06-08,54,104,104,1,1,1,2016-06-08 16:54:02,1
1221,65249,2016-06-10,61,104,104,1,1,1,2016-06-10 14:11:04,1
1222,67390,2016-06-10,63,82,103,0,0,1,2016-06-10 16:38:44,1
1223,64290,2016-06-13,60,104,104,1,1,1,2016-06-13 15:42:37,1
1227,63203,2016-06-14,55,104,104,1,1,1,2016-06-14 15:23:36,1
1228,61139,2016-06-15,63,74,104,0,0,1,2016-06-15 11:11:06,1
1233,65995,2016-06-16,65,104,104,1,1,1,2016-06-16 16:58:00,1
1238,68641,2016-06-17,60,74,104,0,1,1,2016-06-17 17:05:43,1
1242,66316,2016-06-21,53,101,95,0,0,0,2016-06-21 09:33:12,1
1245,64173,2016-06-21,54,104,104,1,1,1,2016-06-21 10:59:27,1
1257,60749,2016-06-28,62,104,104,1,1,1,2016-06-28 14:17:09,1
1260,66140,2016-06-29,54,83,104,0,0,1,2016-06-29 10:01:30,1
1261,66734,2016-06-29,53,85,104,0,0,1,2016-06-29 17:03:03,1
1263,60793,2016-06-23,53,104,104,1,1,1,2016-06-30 17:07:03,1
1265,66955,2016-07-04,63,104,104,1,1,1,2016-07-04 11:03:52,1
1274,63093,2016-08-01,63,74,95,0,0,0,2016-08-01 14:55:14,1
1279,62894,2016-08-30,60,104,104,0,1,1,2016-08-30 13:46:42,1
1290,62697,2016-09-01,61,104,104,1,1,1,2016-09-01 17:02:27,1
1292,63946,2016-09-02,53,104,95,1,1,1,2016-09-02 15:43:06,1
1294,59500,2016-09-05,61,104,104,1,1,1,2016-09-05 15:16:30,1
1295,65526,2016-09-05,65,104,104,1,1,1,2016-09-05 16:50:29,1
1298,66140,2016-09-06,54,104,104,1,1,1,2016-09-06 14:40:27,1
1300,63328,2016-09-06,63,74,95,0,1,0,2016-09-06 16:19:52,1
1301,69734,2016-09-06,60,104,104,1,1,1,2016-09-06 16:46:46,1
1306,67119,2016-09-08,53,104,104,1,1,1,2016-09-08 09:42:13,1
1309,62329,2016-09-08,53,93,104,1,0,1,2016-09-08 16:21:22,1
1315,65724,2016-09-09,53,104,104,1,1,1,2016-09-09 14:42:22,1
1317,67910,2016-09-12,53,104,104,1,1,1,2016-09-12 09:33:53,1
1321,67888,2016-09-07,53,104,104,1,1,1,2016-09-12 15:09:11,1
1322,60671,2016-09-12,53,104,104,1,1,1,2016-09-12 15:10:29,1
1324,62366,2016-09-12,65,104,104,1,1,1,2016-09-12 15:49:54,1
1327,63193,2016-09-13,58,104,104,1,1,1,2016-09-13 09:25:50,1
1328,63194,2016-09-13,63,104,104,1,1,1,2016-09-13 10:05:49,1
1329,62328,2016-09-13,60,104,104,1,0,1,2016-09-13 11:18:22,1
1334,64173,2016-09-13,54,104,104,1,1,1,2016-09-13 16:30:23,1
1337,61080,2016-09-14,53,86,104,0,1,1,2016-09-14 11:30:20,1
1342,66420,2016-09-14,53,74,104,0,0,1,2016-09-14 16:30:32,1
1344,64762,2016-09-16,60,104,104,1,1,1,2016-09-16 10:28:44,1
1345,61198,2016-09-16,54,93,103,1,0,1,2016-09-16 12:09:28,1
1347,63243,2016-09-16,63,74,104,0,1,1,2016-09-16 15:04:51,1
1351,66067,2016-09-19,53,104,104,1,1,1,2016-09-19 10:49:59,1
1353,63531,2016-09-19,53,74,104,0,0,1,2016-09-19 11:28:50,1
1356,68050,2016-09-19,53,104,104,1,1,1,2016-09-19 13:42:51,1
1357,64128,2016-09-19,63,74,104,0,0,1,2016-09-19 16:10:49,1
1359,61579,2016-09-19,63,104,104,1,1,1,2016-09-19 16:50:40,1
1361,62744,2016-09-20,53,104,104,1,0,1,2016-09-20 11:06:19,1
1362,61139,2016-09-20,63,74,104,0,0,1,2016-09-20 13:41:23,1
1364,61895,2016-09-20,54,104,104,1,1,1,2016-09-20 15:20:06,1
1366,60536,2016-09-20,61,104,104,1,1,1,2016-09-20 16:08:32,1
1367,60031,2016-09-21,53,104,104,1,1,1,2016-09-21 08:56:17,1
1383,60693,2016-09-22,61,93,104,1,1,1,2016-09-22 16:57:39,1
1385,64191,2016-09-23,63,80,95,0,0,0,2016-09-23 10:23:05,1
