bdipoint,epqpoint,escale,pscale,nscale,lscale,fapoint,famarriage,faattachmentrelation,fafamilyfunction,fachildhoodtrauma,facopingstyle,fapastexperience,fasocialsupport,falifemeaning,falearningmotivation,gender,politicalstatus,religion,residence,fathereducation,mothereducation,brothersistercount,familyrank,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,fathersta,mothersta
0.0,0.0,0.0,0.0,0.09166985,0.0,0.09166985,0.09166985,0.5500191,0.0,0.0,0.0,0.0,0.1833397,0.09166985,0.09166985,0.09166985,0.3666794,0.09166985,0.1833397,0.3666794,0.27500955,0.1833397,0.1833397,0.1833397,0.09166985,0.1833397,0.1833397,0.1833397,0.09166985,0.09166985
0.0,0.08084521,0.08084521,0.0,0.0,0.08084521,0.08084521,0.0,0.08084521,0.48507125,0.0,0.0,0.0,0.0,0.08084521,0.08084521,0.0,0.32338083,0.08084521,0.16169042,0.48507125,0.48507125,0.0,0.08084521,0.08084521,0.08084521,0.16169042,0.16169042,0.16169042,0.08084521,0.08084521
0.06551218,0.13102436,0.13102436,0.06551218,0.0,0.06551218,0.13102436,0.0,0.19653653,0.0,0.13102436,0.45858525,0.26204871,0.0,0.0,0.06551218,0.0,0.13102436,0.06551218,0.13102436,0.52409743,0.45858525,0.0,0.06551218,0.06551218,0.06551218,0.13102436,0.13102436,0.13102436,0.06551218,0.06551218
0.10369517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10369517,0.0,0.0,0.0,0.0,0.0,0.10369517,0.31108551,0.0,0.31108551,0.10369517,0.20739034,0.62217102,0.41478068,0.10369517,0.10369517,0.10369517,0.10369517,0.20739034,0.10369517,0.20739034,0.10369517,0.10369517
0.09901475,0.09901475,0.19802951,0.0,0.09901475,0.09901475,0.0,0.0,0.09901475,0.0,0.0,0.0,0.29704426,0.0,0.09901475,0.09901475,0.0,0.39605902,0.39605902,0.09901475,0.29704426,0.39605902,0.19802951,0.09901475,0.19802951,0.09901475,0.19802951,0.19802951,0.19802951,0.09901475,0.09901475
0.07537784,0.07537784,0.15075567,0.0,0.0,0.0,0.07537784,0.0,0.37688918,0.0,0.0,0.30151134,0.15075567,0.0,0.0,0.0,0.0,0.15075567,0.07537784,0.15075567,0.52764485,0.52764485,0.0,0.07537784,0.07537784,0.07537784,0.15075567,0.15075567,0.15075567,0.07537784,0.07537784
0.0,0.0877058,0.0877058,0.0,0.0,0.0877058,0.0,0.0,0.0877058,0.0,0.0,0.0,0.0,0.0,0.0877058,0.0877058,0.0877058,0.35082321,0.0877058,0.1754116,0.52623481,0.61394061,0.0,0.0877058,0.0877058,0.0877058,0.1754116,0.1754116,0.1754116,0.0877058,0.0877058
0.0,0.19802951,0.19802951,0.0,0.0,0.19802951,0.0,0.0,0.0,0.0,0.0,0.0,0.19802951,0.0,0.09901475,0.09901475,0.09901475,0.29704426,0.09901475,0.19802951,0.39605902,0.59408853,0.0,0.09901475,0.09901475,0.09901475,0.19802951,0.19802951,0.19802951,0.09901475,0.09901475
0.18731716,0.18731716,0.09365858,0.0,0.18731716,0.09365858,0.18731716,0.0,0.09365858,0.0,0.28097574,0.28097574,0.37463432,0.0,0.09365858,0.28097574,0.09365858,0.28097574,0.09365858,0.18731716,0.28097574,0.28097574,0.09365858,0.09365858,0.09365858,0.09365858,0.18731716,0.18731716,0.18731716,0.09365858,0.09365858
0.0,0.10783277,0.21566555,0.0,0.0,0.10783277,0.0,0.0,0.64699664,0.0,0.0,0.0,0.0,0.0,0.0,0.10783277,0.0,0.32349832,0.10783277,0.21566555,0.21566555,0.10783277,0.21566555,0.21566555,0.10783277,0.10783277,0.21566555,0.21566555,0.21566555,0.10783277,0.10783277
